comparison,split_a,uav_a,split_b,uav_b,overlap_cycles,sampled_points,robust_scaled_rmse,robust_scaled_mean_absolute_difference,near_duplicate
test-test,test,UAV_0188,test,UAV_0197,41,41,0.8428325949896079,0.5939966639530251,False
test-test,test,UAV_0172,test,UAV_0199,232,100,0.844782611404838,0.5984492988280041,False
test-test,test,UAV_0128,test,UAV_0188,41,41,0.8453572388414232,0.577408210719545,False
test-test,test,UAV_0103,test,UAV_0127,104,100,0.8454757429752018,0.5855025600803391,False
test-test,test,UAV_0110,test,UAV_0133,131,100,0.8476075841789938,0.5847094421913981,False
test-test,test,UAV_0131,test,UAV_0133,152,100,0.8512498575965219,0.595923730627324,False
test-test,test,UAV_0122,test,UAV_0188,41,41,0.8515661474457833,0.6063684337690242,False
test-test,test,UAV_0123,test,UAV_0197,95,95,0.854467078554159,0.6051371734593823,False
test-test,test,UAV_0187,test,UAV_0188,41,41,0.8558784360188125,0.5983085650879331,False
test-test,test,UAV_0126,test,UAV_0188,41,41,0.865118362530822,0.634245699057884,False
test-test,test,UAV_0122,test,UAV_0123,119,100,0.8671695169957522,0.6254073576762432,False
test-test,test,UAV_0122,test,UAV_0165,79,79,0.8703722384985781,0.6276176036330687,False
test-test,test,UAV_0120,test,UAV_0165,79,79,0.873710438236573,0.6427818115372942,False
test-test,test,UAV_0101,test,UAV_0172,232,100,0.8746569771512721,0.6243104540630664,False
test-test,test,UAV_0187,test,UAV_0197,95,95,0.8759233556326069,0.6005960934931357,False
test-test,test,UAV_0131,test,UAV_0188,41,41,0.877656660807412,0.608775484585368,False
test-test,test,UAV_0122,test,UAV_0133,119,100,0.878207106278669,0.6315915523583038,False
test-test,test,UAV_0110,test,UAV_0187,131,100,0.8785611428900081,0.6141318913768271,False
test-test,test,UAV_0122,test,UAV_0187,119,100,0.8790518292505328,0.6129197730843722,False
test-test,test,UAV_0123,test,UAV_0165,79,79,0.8862771165721943,0.6519597502520013,False
test-test,test,UAV_0101,test,UAV_0197,95,95,0.889231691946759,0.6366226281118728,False
test-test,test,UAV_0108,test,UAV_0114,169,100,0.8893919877574981,0.625821409744755,False
test-test,test,UAV_0110,test,UAV_0131,131,100,0.8897799073361128,0.6254788622149724,False
test-test,test,UAV_0117,test,UAV_0122,119,100,0.8925990167574678,0.6325982398747991,False
test-test,test,UAV_0165,test,UAV_0187,79,79,0.8964098238209046,0.6245470701426272,False
test-test,test,UAV_0126,test,UAV_0165,79,79,0.8971849881311136,0.6567985720197889,False
test-test,test,UAV_0114,test,UAV_0186,169,100,0.8991311097932536,0.6154703706328049,False
test-test,test,UAV_0126,test,UAV_0197,95,95,0.9006386865402597,0.6549046561755153,False
test-test,test,UAV_0117,test,UAV_0165,79,79,0.901240837318072,0.6653908916155591,False
test-test,test,UAV_0117,test,UAV_0188,41,41,0.9020627582592602,0.6563967324922838,False
test-test,test,UAV_0182,test,UAV_0188,41,41,0.9025406448085553,0.6565905362694212,False
test-test,test,UAV_0120,test,UAV_0188,41,41,0.9054225438545233,0.6498303065328052,False
test-test,test,UAV_0161,test,UAV_0188,41,41,0.9115714057196849,0.6969343754626439,False
test-test,test,UAV_0123,test,UAV_0188,41,41,0.9119239310530755,0.6625208431127404,False
test-test,test,UAV_0131,test,UAV_0187,152,100,0.9160951883955325,0.640921075161772,False
test-test,test,UAV_0110,test,UAV_0114,131,100,0.9213999974144015,0.6703324619010235,False
test-test,test,UAV_0109,test,UAV_0131,152,100,0.9225956142588009,0.647822198672608,False
test-test,test,UAV_0101,test,UAV_0188,41,41,0.9235766903881262,0.6653044833439885,False
test-test,test,UAV_0108,test,UAV_0126,130,100,0.9321477431175875,0.676467044219836,False
test-test,test,UAV_0101,test,UAV_0165,79,79,0.935971323127409,0.6771712993869566,False
test-test,test,UAV_0165,test,UAV_0199,79,79,0.9374794949748797,0.7094217296774179,False
test-test,test,UAV_0169,test,UAV_0188,41,41,0.9374934082792521,0.6777232046413126,False
test-test,test,UAV_0188,test,UAV_0192,41,41,0.9456743147029587,0.6854456263446871,False
test-test,test,UAV_0124,test,UAV_0172,232,100,0.9473696589493266,0.6975898172357516,False
test-test,test,UAV_0126,test,UAV_0156,130,100,0.9486273204950446,0.6896484813466116,False
test-test,test,UAV_0172,test,UAV_0177,232,100,0.9486304040061502,0.6864755443065554,False
test-test,test,UAV_0136,test,UAV_0172,90,90,0.9590123490523167,0.6097461059361229,False
test-test,test,UAV_0177,test,UAV_0188,41,41,0.9667589718753997,0.7413497471357905,False
test-test,test,UAV_0127,test,UAV_0188,41,41,0.9700720584228517,0.7572075331904187,False
test-test,test,UAV_0101,test,UAV_0136,90,90,0.9888250433245439,0.629704228925136,False
test-test,test,UAV_0173,test,UAV_0197,95,95,1.001486582292914,0.6134935705078106,False
test-test,test,UAV_0159,test,UAV_0186,149,100,1.01818566602228,0.6020493644720791,False
test-test,test,UAV_0122,test,UAV_0124,119,100,1.0222187509620755,0.7348067280924342,False
test-test,test,UAV_0111,test,UAV_0114,103,100,1.023724996673879,0.6259335986128168,False
test-test,test,UAV_0141,test,UAV_0172,101,100,1.031303695427576,0.6560966308953013,False
test-test,test,UAV_0123,test,UAV_0141,101,100,1.0369734361734309,0.6741331226279611,False
test-test,test,UAV_0114,test,UAV_0159,149,100,1.0419653986140602,0.6146015519165287,False
test-test,test,UAV_0110,test,UAV_0146,131,100,1.0470667328688712,0.7864163272194421,False
test-test,test,UAV_0122,test,UAV_0163,119,100,1.0567513977994616,0.6850883818680665,False
test-test,test,UAV_0172,test,UAV_0178,232,100,1.0567837504243582,0.6558445671652696,False
test-test,test,UAV_0165,test,UAV_0173,79,79,1.0582713658105376,0.6227460759963843,False
test-test,test,UAV_0109,test,UAV_0110,131,100,1.0591317224148198,0.6568909669941209,False
test-test,test,UAV_0187,test,UAV_0193,158,100,1.061252804337068,0.6734323346409647,False
test-test,test,UAV_0163,test,UAV_0197,95,95,1.0614055904174278,0.689110880188626,False
test-test,test,UAV_0122,test,UAV_0182,119,100,1.0630301888899816,0.6250988815509779,False
test-test,test,UAV_0148,test,UAV_0156,162,100,1.0699963316531422,0.6420243861069862,False
test-test,test,UAV_0110,test,UAV_0190,131,100,1.0722044148154868,0.6403044079455575,False
test-test,test,UAV_0110,test,UAV_0155,131,100,1.079906854259633,0.6692623585202018,False
test-test,test,UAV_0165,test,UAV_0176,79,79,1.0811042875905488,0.6183013881001385,False
test-test,test,UAV_0110,test,UAV_0179,131,100,1.0870650778997992,0.7175425402660244,False
test-test,test,UAV_0114,test,UAV_0148,169,100,1.0873986090439074,0.6240772361423067,False
test-test,test,UAV_0162,test,UAV_0172,224,100,1.087661790384242,0.7014260895123425,False
test-test,test,UAV_0123,test,UAV_0161,78,78,1.088414481439896,0.609459833011641,False
test-test,test,UAV_0122,test,UAV_0128,70,70,1.0929425212610253,0.6579917151374204,False
test-test,test,UAV_0197,test,UAV_0199,95,95,1.0952603630963256,0.6901160145994517,False
test-test,test,UAV_0132,test,UAV_0150,120,100,1.0953390815702135,0.6354849206311924,False
test-test,test,UAV_0151,test,UAV_0197,95,95,1.1033830688500244,0.7086033652532452,False
test-test,test,UAV_0146,test,UAV_0182,180,100,1.103927092164491,0.7553602630499989,False
test-test,test,UAV_0122,test,UAV_0194,119,100,1.1044041395136606,0.6499696224216955,False
test-test,test,UAV_0104,test,UAV_0188,41,41,1.106479931732529,0.8883744406556863,False
test-test,test,UAV_0110,test,UAV_0112,131,100,1.1116547397113226,0.7128267674867081,False
test-test,test,UAV_0101,test,UAV_0117,230,100,1.115102484789329,0.6944460812283558,False
test-test,test,UAV_0114,test,UAV_0132,120,100,1.117661399343799,0.7003545074782771,False
test-test,test,UAV_0110,test,UAV_0120,131,100,1.1294743853652711,0.7410654312603299,False
test-test,test,UAV_0106,test,UAV_0114,64,64,1.134197230041676,0.6469928420662548,False
test-test,test,UAV_0108,test,UAV_0158,119,100,1.1357799491508946,0.638196108909705,False
test-test,test,UAV_0178,test,UAV_0192,266,100,1.1358005384823626,0.7646653509872556,False
test-test,test,UAV_0170,test,UAV_0188,41,41,1.1414822446413633,0.9174876692439801,False
test-test,test,UAV_0106,test,UAV_0198,64,64,1.152349011534128,0.6637748125538985,False
