uav_id,channel,window,available_points,endpoint_cycle,rolling_mean,rolling_sd,window_delta,window_slope
UAV_0022,telemetry_04,5,5,192,-126.02471872434732,0.23089347877079383,-0.008534033592439982,0.04627394479412885
UAV_0022,telemetry_04,20,20,192,-125.93390160622835,0.12185328342003984,0.0028446778641608716,-0.005679068578054435
UAV_0022,telemetry_04,50,50,192,-125.9211471539763,0.10161142310655305,-0.031291456505698534,-0.0017238275037637313
UAV_0022,telemetry_05,5,5,192,-113.52607958064752,0.0021883733970011767,-0.0010614953307026553,-0.00029330736316381947
UAV_0022,telemetry_05,20,20,192,-113.52557849297202,0.002369516437072257,-0.006372290519806256,-8.92651890471231e-05
UAV_0022,telemetry_05,50,50,192,-113.525606417833,0.0025640722610746594,-0.006415863016300705,-4.485277099066651e-06
UAV_0022,telemetry_06,5,5,192,-134.65290826324517,0.582751778488083,1.3989171155039912,0.32436842696108104
UAV_0022,telemetry_06,20,20,192,-134.7327479822366,0.6348464002552467,0.4220546713740987,0.011718771078848032
UAV_0022,telemetry_06,50,50,192,-135.66406108393952,1.0397468867266757,2.430884620584777,0.04932062322575731
UAV_0022,telemetry_07,5,5,192,140.5912754437698,0.0,0.0,0.0
UAV_0022,telemetry_07,20,20,192,140.59127544376983,2.9160058604848984e-14,0.0,0.0
UAV_0022,telemetry_07,50,50,192,140.59127544376977,2.8710262101646174e-14,0.0,0.0
UAV_0022,telemetry_08,5,5,192,-4680.605940223165,0.0,0.0,0.0
UAV_0022,telemetry_08,20,20,192,-4680.605940223164,9.331218753551675e-13,0.0,0.0
UAV_0022,telemetry_08,50,50,192,-4680.605940223166,9.187283872526776e-13,0.0,0.0
UAV_0022,telemetry_09,5,5,192,-150.4179164341734,11.449164177633792,4.176908680801262,2.549939131772473
UAV_0022,telemetry_09,20,20,192,-154.21777749117035,9.75996240154011,20.806379809257123,0.32922626629949464
UAV_0022,telemetry_09,50,50,192,-151.82766166966084,11.049690333265415,-0.24330993483471275,-0.1556746051045131
UAV_0022,telemetry_10,5,5,192,-65.28181012677469,5.1048037453141175,-1.0047185625996917,0.9101296946470839
UAV_0022,telemetry_10,20,20,192,-62.964917397703815,2.8183101263721015,-1.5373791310972393,-0.17725056892930077
UAV_0022,telemetry_10,50,50,192,-62.473402971988655,2.50959660209559,-1.397003264817748,-0.018912040102719716
UAV_0022,telemetry_11,5,5,192,63.882784448331606,1.8091166600959625,0.043802941998428935,-0.3940461256364912
UAV_0022,telemetry_11,20,20,192,63.19211698505241,0.9296075182939689,0.27083038528293457,0.04888735623060972
UAV_0022,telemetry_11,50,50,192,62.89514061713114,0.7850119064075561,0.3322613405246244,0.015388309608086303
UAV_0022,telemetry_12,5,5,192,630.2961024795483,1.4075098146534162,-1.3317565618942808,-0.599290452852415
UAV_0022,telemetry_12,20,20,192,631.4014604259204,1.5485673451427657,-0.6658782809470267,-0.14198727855382748
UAV_0022,telemetry_12,50,50,192,633.2233034025918,2.1344917323856425,-4.261620998061517,-0.10429588363953168
UAV_0022,telemetry_13,5,5,192,7147.1249696588475,2.5968812175071627,-2.5381117212282334,-0.22728103497929625
UAV_0022,telemetry_13,20,20,192,7145.4886094143485,4.042561925315106,3.090428451875596,0.2203577020574525
UAV_0022,telemetry_13,50,50,192,7142.215945825936,4.478546420555089,4.658378929194441,0.22785599879949237
UAV_0022,telemetry_14,5,5,192,-648.8153498138018,0.0,0.0,0.0
UAV_0022,telemetry_14,20,20,192,-648.8153498138018,0.0,0.0,0.0
UAV_0022,telemetry_14,50,50,192,-648.8153498138018,0.0,0.0,0.0
UAV_0022,telemetry_15,5,5,192,50078.47373100947,16.159463885978717,-8.264763972227229,-2.812486844279192
UAV_0022,telemetry_15,20,20,192,50089.17783390035,20.305112129752068,-15.542690455222328,-0.886437904437956
UAV_0022,telemetry_15,50,50,192,50083.54977634465,21.629164729622293,-29.543447333526274,0.16270083274399616
UAV_0022,telemetry_16,5,5,192,-702.2301558128619,1.5512116838872658,3.468614772663841,0.6937229545327682
UAV_0022,telemetry_16,20,20,192,-700.8427099037963,1.899838554283657,-1.7343073863319205,-0.16951876708507715
UAV_0022,telemetry_16,50,50,192,-699.2818332560976,2.250375588146503,-5.202922158995875,-0.11001296793971288
UAV_0022,telemetry_17,5,5,192,40.415812282139726,3.6230712748823524e-14,0.0,0.0
UAV_0022,telemetry_17,20,20,192,40.41581228213973,1.7931065148788005e-14,0.0,0.0
UAV_0022,telemetry_17,50,50,192,40.41581228213974,1.7345370844407032e-14,0.0,0.0
UAV_0022,telemetry_18,5,5,192,-103.33111216186819,0.006986911776531426,-0.0022940390030470326,-0.0012296971334706086
UAV_0022,telemetry_18,20,20,192,-103.32874259687833,0.005880134700357974,-0.010976147703829042,-0.00013237379595547755
UAV_0022,telemetry_18,50,50,192,-103.32862547727012,0.0057953148097724845,-0.005790275290380009,4.5536009129514845e-05
UAV_0022,telemetry_19,5,5,192,33507.337632504656,0.1767772296350238,0.3408131914329715,0.07006677915123874
UAV_0022,telemetry_19,20,20,192,33506.64752117607,0.6068718411891456,1.7689351344524766,0.08830391963057814
UAV_0022,telemetry_19,50,50,192,33505.985107553584,0.7868997679278878,2.9871813504505553,0.045676098938000044
UAV_0022,telemetry_20,5,5,192,-164.8973841769026,0.0,0.0,0.0
UAV_0022,telemetry_20,20,20,192,-164.89738417690256,2.9160058604848984e-14,0.0,0.0
UAV_0022,telemetry_20,50,50,192,-164.8973841769026,0.0,0.0,0.0
UAV_0022,telemetry_21,5,5,192,34963.70519449205,0.6155883433392185,0.0,0.14715375990635948
UAV_0022,telemetry_21,20,20,192,34963.3152370283,0.6063077029073757,1.4715375990563189,0.04835052111195825
UAV_0022,telemetry_21,50,50,192,34962.65157357112,0.8203200926481476,2.3544601584944758,0.04489867901278425
UAV_0022,telemetry_22,5,5,192,23207.62965343007,73.02645469417038,5.535904223273974,21.619162808781766
UAV_0022,telemetry_22,20,20,192,23184.604662311962,75.17261206808071,73.860616873666,4.636511473425333
UAV_0022,telemetry_22,50,50,192,23150.91868511334,72.31459845449713,39.04269294308324,2.684992247879861
UAV_0022,telemetry_23,5,5,192,-17422.456738454082,11.711396137031011,-2.2368235838112014,2.6755571521840467
UAV_0022,telemetry_23,20,20,192,-17420.673305391207,7.5593750920605025,-6.994720100457926,-0.3032654544703886
UAV_0022,telemetry_23,50,50,192,-17412.72684476376,10.087317514784333,-21.150868889035337,-0.4753466561323148
UAV_0022,telemetry_24,5,5,192,-3557.6223565656446,154.37390029653034,0.5557536281062312,-34.29738798355525
UAV_0022,telemetry_24,20,20,192,-3613.9601062941824,78.34594257091634,3.743225173715473,3.8585355769531486
UAV_0022,telemetry_24,50,50,192,-3620.799503913333,71.07145544129608,14.213309578218741,1.0634306182587743
UAV_0022,telemetry_25,5,5,192,-174.2660715277413,0.22736947552086256,0.09115057260100912,-0.03646022904041217
UAV_0022,telemetry_25,20,20,192,-173.9166609994374,0.3392687638196616,-0.6076704840068317,-0.04276538143085647
UAV_0022,telemetry_25,50,50,192,-173.3296513118868,0.606450508014542,-1.7622444036197749,-0.03695482758561543
UAV_0022,telemetry_26,5,5,192,-7443.835171513568,3.0564482272833406,6.028061694015378,1.6505407019326412
UAV_0022,telemetry_26,20,20,192,-7446.798968513123,4.114493057959935,0.4305758352884368,0.34888513169976076
UAV_0022,telemetry_26,50,50,192,-7454.800502785535,8.175929054342287,27.700378736779385,0.49896485511144206
UAV_0022,telemetry_27,5,5,192,969.0302044744709,1.2710574864626038e-13,0.0,0.0
UAV_0022,telemetry_27,20,20,192,969.0302044744709,1.1664023441939594e-13,0.0,0.0
UAV_0022,telemetry_27,50,50,192,969.0302044744708,0.0,0.0,0.0
UAV_0022,telemetry_28,5,5,192,-9923.91641970761,39.37013624254697,-97.82572486405843,-14.874094125351439
UAV_0022,telemetry_28,20,20,192,-9897.899011153486,36.509855971233485,-111.94474448939945,-4.185051979614861
UAV_0022,telemetry_28,50,50,192,-9857.828670507712,49.50055439789885,-209.17439199288492,-2.812960110153678
UAV_0023,telemetry_01,5,5,196,90.01972978665034,12.838501982832538,30.847355451176867,6.140075485572416
UAV_0023,telemetry_01,20,20,196,86.71723031032343,10.261801656646318,12.482494547473735,0.4374613634944575
